Repository,Title,Authors,Abstract,DOI
"PubMed","A large outbreak investigation of Legionnaires' disease associated with a public bath facility in Hiroshima, Japan, using PFGE, SBT, MLVA, and whole-genome sequencing.","Takahiro Hiratsuka; Noriko Nakanishi; Hiroko Akita; Kanako Masuda; Shoko Komatsu; Ryohei Nomoto; Junko Amemura-Maekawa","In 2017, a large outbreak of Legionnaires' disease, involving 58 patients, occurred in a public bath facility in Hiroshima Prefecture, Japan. We analyzed 94 Legionella pneumophila strains isolated from patients and the public bath facility using molecular typing methods, including Pulsed-Field Gel Electrophoresis, sequence-based typing, multi-locus variable number tandem repeat analysis, and Whole-Genome Sequencing (WGS). Genotypes obtained using these molecular epidemiological typing methods were highly correlated with each other. L. pneumophila strains of various genotypes were isolated from the public bath facility, of which only ST2398 and ST2399 were isolated from patients. ST2398 and ST2399, isolated from patients, bath water, and swabs, derived from one common circulating system at the bath facility out of seven were found to be novel genotypes and a highly clonal genetic lineage by single nucleotide variant (SNV) analysis based on WGS. The result of haplotype network analysis based on SNVs showed that ST2398 and ST2399 differed only approximately 30-42 SNVs, and some environmental strains that differed by only 0-3 SNVs from patient strains were isolated. These results demonstrated that this outbreak was caused by L. pneumophila assigned to the ST2398 and ST2399 clades. We found that at least three patients were co-infected with different clusters of L. pneumophila serogroup 1. Our results show that several strains must be isolated from a single sample to consider the accumulation of mutations in water and co-infection when investigating outbreaks. ","10.1016/j.ijmm.2025.151680"
"PubMed","Molecular epidemiology of Brucella abortus in Shandong, China: high-resolution insights from combined MLVA-16 and core genome SNP analysis.","Chanjuan Huangfu; Xiujun Ma; Junjie Fan; Kuo Han; Ti Liu; Zengqiang Kou; Yan Li","The recent identification of Brucella abortus in human clinical samples from Shandong, China, highlights an ongoing zoonotic threat. We characterized 12 B. abortus strains isolated from human patients since 2021 using a combination of conventional biotyping, Multiple Locus Variable-number Tandem Repeat Analysis (MLVA), and core-genome SNP (cgSNP) analysis. Epidemiological data indicated that infections primarily occurred in middle-aged men with occupational livestock exposure. Molecular typing revealed biovar 3 as the predominant type (91.7%), dominated by MLVA-8 genotype 36 and its corresponding MLVA-11 genotype 72 (66.7%). MLVA-16 distinguished 12 unique genotypes. The phylogeny based on cgSNP classified the strains into clades C1 (11 bv. 3 strains) and C2 (one bv. 1 strain). Within clade C1, nine strains in subclade C1-III exhibited ≤119 SNP differences, eight of which formed a local clonal transmission chain (≤52 SNPs) and shared MLVA-11 genotype 72. Subclade C1-I contained two strains with novel genotypes resulting from variations at the Bruce18 and Bruce43 loci. The sole C2 strain differed by only 3 SNPs from the A19 vaccine strain, suggesting a potential vaccine-related origin. Genetic links were also identified with strains from other Chinese provinces, among them Heilongjiang and Inner Mongolia, as well as from several countries, including Mongolia and Russia. These findings revealed a complex epidemiological pattern in Shandong, primarily characterized by local transmission chains with occasional external introductions, provided a scientific basis for targeted brucellosis control strategies. ","10.3389/fmicb.2025.1695815"
"PubMed","In House Rapid, Simple Multiple-Locus Variable-Number Tandem Repeat Analysis (MLVA): A Reliable Tool for Enterobacter hormaechei Genotyping.","Claire Guillermard; Audrey Baron; Philippe Bidet; Kevin La; Maud Gits-Muselli; Céline Courroux; Célie Malaure; Laurent Dortet; André Birgy; Stéphane Bonacorsi","Enterobacter hormaechei, a prominent species within the Enterobacter cloacae complex, is a significant cause of nosocomial infections and is frequently associated with multidrug resistance. Rapid genomic comparison helps guide timely infection control measures. This study aimed to develop a simple and rapid multiple-locus variable-number tandem-repeat analysis (MLVA) protocol for epidemiological surveillance of E. hormaechei. Eight variable-number tandem-repeat (VNTR) regions were selected for amplification using multiplex PCR, followed by gel electrophoresis. The method's discriminatory power was evaluated on 46 unrelated strains from 22 French hospitals. Then, suspected related strains from three potential outbreaks, including ESBL- and/or NDM-producing isolates were compared. An independent collection of 22 VIM-producing strains was also analyzed. Whole-genome sequencing (WGS) was used as the gold standard. Among 46 unrelated E. hormaechei strains, representing the five subspecies, MLVA and MLST showed similar discriminatory power (36 MLVA profiles vs. 33 STs, Hunter and Gaston diversity indices 0.9833 vs. 0.9824, respectively). Isolates with different ST typically had distinct MLVA profiles, except for three instances where different STs shared similar profiles. In STs represented by multiple strains, MLVA sometimes distinguished strains sharing the same ST. Among the three potential outbreak, epidemic strains exhibited unique MLVA profiles, with genetic distances of 0-11 SNPs using WGS, while unrelated isolates had different MLVA profiles, indicating this technique's potential as an effective screening tool for clonal groups. Similar results were observed for VIM-producing E. hormaechei, with consistent MLVA profiles within the same STs. The MLVA protocol developed is a rapid, cost-effective method for E. hormaechei epidemiological investigations that can quickly rule out unrelated strains. However, highly discriminatory techniques like WGS remain necessary when profiles are similar. ","10.1002/mbo3.70141"
"PubMed","A Multilocus Variable-Number Tandem-Repeat Analysis (MLVA) Scheme for Epidemiological Investigations of Cryptosporidium parvum.","Harriet Risby; Guy Robinson; Rachel M Chalmers","A multi-locus variable-number tandem-repeat analysis (MLVA) scheme has been validated and used for subtyping Cryptosporidium parvum, to infer linkage between cases, and suspected sources, in outbreaks and for epidemiological surveillance. Here, we describe the multiplex polymerase chain reaction (PCR) assays, fragment sizing, and bioinformatics to identify alleles and create a seven-locus MLVA profile for each specimen. The PCRs to produce amplicons for Sanger sequencing to confirm new alleles are also described. ","10.1007/978-1-0716-4824-7_8"
"PubMed","Genotyping of Coxiella burnetii isolates in Iran using Multiple-locus variable-number tandem repeat analysis (MLVA).","Fatemeh Dolatkhah; Safoura Moradkasani; Ashraf Mohabati Mobarez; Mohammad Khalili; Ehsan Mostafavi; Kayvan Tadayon; Saber Esmaeili","Coxiella burnetii is the etiological agent of Q fever, a zoonotic infection recognized in various regions of Iran. Despite its significance, few studies have focused on determining C. burnetii genotypes in Iran. This study aimed to assess the genetic diversity of C. burnetii in Iran using the Multiple-Locus Variable-Number Tandem Repeat Analysis (MLVA) method. A total of 26 C. burnetii-positive specimens were selected from a repository of 119 specimens collected from various locations across Iran. These samples were previously identified as C. burnetii using nested PCR and TaqMan real-time PCR techniques. In this study, the MLVA method was utilized for genotyping C. burnetii isolates. Genotyping results from the 26 C. burnetii-positive samples indicated that nearly all loci were informative for genotyping, except two loci (ms23 and ms26). Cluster analysis of the MLVA profiles identified 13 clusters, along with 40 singleton genotypes. Iranian isolates were distributed across a single cluster (Cluster 13), which consisted exclusively of Iranian strains, and 24 unique singleton genotypes, highlighting the genetic diversity of C. burnetii circulating within the region. The genotypic characteristics of C. burnetii observed in Iran differed significantly from those found in other global regions, suggesting unique local adaptations of this microorganism. To enhance our understanding of the epidemiology of Q fever in Iran, further large-scale studies are required to evaluate the distribution of C. burnetii genotypes across various geographic areas, host species, and environmental reservoirs. ","10.1186/s12866-025-04418-1"
"PubMed","Genetic structure and diversity of Mycoplasma hyopneumoniae based on a MLVA typing scheme.","Pablo Tamiozzo; Virginia García; Raúl E González-Ittig; Maria Pieters","Several epidemiological studies have been carried out using Multiple-Locus Variable-number tandem repeat Analysis (MLVA) for M. hyopneumoniae typing. However, a global perspective on the implications of the genetic diversity of this pathogen is lacking. This study aimed to determine and to analyze the genetic structure of M. hyopneumoniae based on the p97R1-p146R3 MLVA typing scheme and to characterize, analyze and compare MLVA types among countries where the information was publicly available. A set of 797 publicly available data of M. hyopneumoniae p97R1-p146R3 MLVA genetic types from six different countries were analyzed using Genalex 6.41 software to characterize loci polymorphism and using Structure 2.3.4 software in order to identify the genetic structure. A total of 185 MLVA types were identified among the analyzed data. For the p97R1 and p146R3 loci, most of the molecular variation in M. hyopneumoniae populations was identified within countries. Three genetic clusters and their recombinations were identified globally. M. hyopneumoniae is a genetically diverse pathogen with limited clonality and three well-defined clusters and their combinations were identified in this investigation. The greatest genetic variation of M. hyopneumoniae was observed within countries. ","10.3389/fvets.2024.1510825"
"PubMed","On the ability to extract MLVA profiles of Vibrio cholerae isolates from WGS data generated with Oxford Nanopore Technologies.","Jérôme Ambroise; Bertrand Bearzatto; Jean-Francois Durant; Leonid M Irenge; Jean-Luc Gala","Multiple-Locus Variable Number of Tandem Repeats (VNTR) Analysis (MLVA) is widely used to subtype pathogens causing foodborne and waterborne disease outbreaks. The MLVAType shiny application was previously designed to extract MLVA profiles of Vibrio cholerae isolates from whole-genome sequencing (WGS) data, and provide backward compatibility with traditional MLVA typing methods. The previous development and validation work was conducted using short (pair-end 300 and 150 nt long) reads from Illumina MiSeq and Hiseq sequencing. In this study, the MLVAType application was validated using long reads generated by Oxford Nanopore Technologies (ONT) sequencing platforms. In silico MLVA profiles of V. cholerae isolates (n = 9) from the Democratic Republic of the Congo were generated using the MLVAType application on Nanopore WGS data. The WGS-derived in silico MLVA profiles were extracted from Canu (v.2.2) assemblies obtained through MinION and GridION sequencing by ONT. The results were compared to those obtained from SPAdes assemblies (v3.13.0; k-mer 175) generated from short-read (pair-end 300-bp) reference data obtained by MiSeq sequencing, Illumina. For each isolate, the in silico MLVA profiles were concordant across all three sequencing methods, demonstrating that the MLVAType application can accurately predict the MLVA profiles from assembled genomes generated by long-reads ONT sequencers. ","10.1186/s13104-025-07093-7"
"PubMed","In silico MLVA Analysis of Brucella melitensis from Human and Livestock in Iran.","Maryam Dadar; Saeed Alamian","Brucellosis, a zoonotic disease caused by Brucella spp. globally, is of great significance not only to livestock but also to public health. The most significant of the twelve species is Brucella melitensis. This article is devoted to the endemic region of Iran and aims to uncover the molecular epidemiology of B. melitensis. Biotyping, AMOS-PCR, Bruce-ladder PCR, and the in silico method of MLVA were employed to test 40 B. melitensis isolates from humans, cows, sheep, goats, camels, and horses which are found in thirteen Iranian provinces throughout the years 2015 to 2022. The data from the MLVA-8 analysis showed that there were seven genotypes that could be identified, and the most commonly identified genotype was genotype 63. The data from the MLVA-10 analysis showed that there were seven genotypes, with genotype 213 being the most prevalent in Iran. The data from the MLVA-11 analysis showed that there were eight genotypes, with genotype 111 being the most prevalent in Iran. The MLVA and SNP analysis results showed that the bacteria were grouped into two main groups, known as the Eastern Mediterranean and American groups. Moreover, the outcomes from these analyses have added considerably to our understanding of the genetic/historical relationships among the isolates. Our study indicates a high prevalence of B. melitensis biovar 1 in Iran, accounting for 82.5% of the isolates. The study provides insight into such matters as the complex epidemiology of B. melitensis in Iran, suggesting different ways of transmission and sources of infection. This research points out the vital significance of the continuation of the surveillance and curation of B. melitensis in the diverse species of animals and humans. The simplicity and efficiency of MLVA-based molecular epidemiology offer information on the geographic distribution and genetic diversity of B. melitensis and, therefore, help in the devising of targeted strategies for the prevention of disease in animals. ","10.1007/s00284-024-03940-1"
"PubMed","Unravelling Chlamydia trachomatis diversity in Amhara, Ethiopia: MLVA-ompA sequencing as a molecular typing tool for trachoma.","Anna J Harte; Ehsan Ghasemian; Harry Pickering; Joanna Houghton; Ambahun Chernet; Eshetu Sata; Gizachew Yismaw; Taye Zeru; Zerihun Tadesse; E Kelly Callahan; Scott D Nash; Martin J Holland","Trachoma is the leading infectious cause of blindness worldwide and is now largely confined to around 40 low- and middle-income countries. It is caused by Chlamydia trachomatis (Ct), a contagious intracellular bacterium. The World Health Organization recommends mass drug administration (MDA) with azithromycin for treatment and control of ocular Ct infections, alongside improving facial cleanliness and environmental conditions to reduce transmission. To understand the molecular epidemiology of trachoma, especially in the context of MDA and transmission dynamics, the identification of Ct genotypes could be useful. While many studies have used the Ct major outer membrane protein gene (ompA) for genotyping, it has limitations. Our study applies a typing system novel to trachoma, Multiple Loci Variable Number Tandem Repeat Analysis combined with ompA (MLVA-ompA). Ocular swabs were collected post-MDA from four trachoma-endemic zones in Ethiopia between 2011-2017. DNA from 300 children with high Ct polymerase chain reaction (PCR) loads was typed using MLVA-ompA, utilizing 3 variable number tandem repeat (VNTR) loci within the Ct genome. Results show that MLVA-ompA exhibited high discriminatory power (0.981) surpassing the recommended threshold for epidemiological studies. We identified 87 MLVA-ompA variants across 26 districts. No significant associations were found between variants and clinical signs or chlamydial load. Notably, overall Ct diversity significantly decreased after additional MDA rounds, with a higher proportion of serovar A post-MDA. Despite challenges in sequencing one VNTR locus (CT1299), MLVA-ompA demonstrated cost-effectiveness and efficiency relative to whole genome sequencing, providing valuable information for trachoma control programs on local epidemiology. The findings suggest the potential of MLVA-ompA as a reliable tool for typing ocular Ct and understanding transmission dynamics, aiding in the development of targeted interventions for trachoma control. ","10.1371/journal.pntd.0012143"
"PubMed","Application of a new multi-locus variable number tandem repeat analysis (MLVA) scheme for the seasonal investigation of Cryptosporidium parvum cases in Wales and the northwest of England, spring 2022.","Harriet Risby; Guy Robinson; Nastassya Chandra; Grace King; Roberto Vivancos; Robert Smith; Daniel Thomas; Andrew Fox; Noel McCarthy; Rachel M Chalmers","The protozoan Cryptosporidium parvum is an important cause of gastroenteritis in humans and livestock, and cryptosporidiosis outbreaks are common. However, a multi-locus genotyping scheme is not widely adopted. We describe the further development and application of a seven-locus multi-locus variable number of tandem repeats analysis (MLVA) scheme. From 28th March to 31st July 2022, confirmed C. parvum stools (n = 213) from cryptosporidiosis patients (cases) in Wales (n = 95) and the north west of England (n = 118) were tested by MLVA. Typability (defined as alleles identified at all seven loci in a sample) was 81.2% and discriminatory power estimated by Hunter Gaston Discriminatory Index was 0.99. A MLVA profile was constructed from the alleles, expressed in chromosomal order. Profiles were defined as simple (single allele at each locus) or mixed (more than one allele at any locus). A total of 161 MLVA profiles were identified; 13 were mixed, an additional 38 simple profiles contained null records, and 110 were complete simple profiles. A minimum spanning tree was constructed of simple MLVA profiles and those identical at all seven loci defined genetic clusters of cases (here, null records were considered as an allele); 77 cases formed 25 clusters, ranging from two to nine (mode = two) cases. The largest cluster, following epidemiological investigation, signalled a newly-identified outbreak. Two other cases with mixed profiles that contained the outbreak alleles were included in the outbreak investigation. In another epidemiologically-identified outbreak of six initial cases, MLVA detected two additional cases. In a third, small outbreak of three cases, identical MLVA profiles strengthened the microbiological evidence. Review of the performance characteristics of the individual loci and of the seven-locus scheme suggested that two loci might be candidates for review, but a larger dataset over a wider geographical area and longer timeframe will help inform decision-making about the scheme by user laboratories and stakeholders (such as public health agencies). This MLVA scheme is straightforward in use, fast and cheap compared to sequence-based methods, identifies mixed infections, provides an important tool for C. parvum surveillance, and can enhance outbreak investigations and public health action. ","10.1016/j.crpvbd.2023.100151"
