Repository,Title,Authors,Abstract,DOI
"PubMed","Meta-Learning for Fast Adaptation in Intent Inferral on a Robotic Hand Orthosis for Stroke.","Pedro Leandro La Rotta; Jingxi Xu; Ava Chen; Lauren Winterbottom; Wenxi Chen; Dawn Nilsen; Joel Stein; Matei Ciocarlie","We propose MetaEMG, a meta-learning approach for fast adaptation in intent inferral on a robotic hand orthosis for stroke. One key challenge in machine learning for assistive and rehabilitative robotics with disabled-bodied subjects is the difficulty of collecting labeled training data. Muscle tone and spasticity often vary significantly among stroke subjects, and hand function can even change across different use sessions of the device for the same subject. We investigate the use of meta-learning to mitigate the burden of data collection needed to adapt high-capacity neural networks to a new session or subject. Our experiments on real clinical data collected from five stroke subjects show that MetaEMG can improve the intent inferral accuracy with a small session- or subject-specific dataset and very few fine-tuning epochs. To the best of our knowledge, we are the first to formulate intent inferral on stroke subjects as a meta-learning problem and demonstrate fast adaptation to a new session or subject for controlling a robotic hand orthosis with EMG signals. ","10.1109/iros58592.2024.10801596"
"PubMed","Deep Learning-Based Subject Independent Human Activity Recognition using Smart Lacelock Data.","Najmeh Movahhed Neya; Edward Sazonov; Xiangrong Shen","Human Activity Recognition (HAR) field is rapidly growing and the classification of human activities based on sensor data is crucial for applications in healthcare, rehabilitation and numerous other sectors. In this paper we use a novel device and attempt Deep Learning-based HAR from the device data.Typically, sensor-based HAR tasks use data from accelerometer and gyroscope within Inertial Measurement Units (IMU). But in this work we use the data from Smart Lacelock device, which is home to IMU and loadcell, introducing an additional sensor, aimed at complementing IMU data. This novel device ensures user comfort by attaching to the user's shoe as a shoelace tensioning device without any shoe modification. The data for this study was collected by the UA HuB-Robotics Lab from eight participants.Using this comprehensive dataset, we propose a CNN based model to classify activities such as walking, stair climbing, and stair descending. The model comprises three consecutive CNN blocks, and within each block there is a convolutional layer, a max-pooling layer, a Rectified Linear Unit (ReLU) layer, and a normalization layer. The model has a dropout and a flatten layer right after the third block of CNN and concludes with 2 dense layers. Our model achieves an average recognition accuracy of 98.4% using the leave-one-out (L1O) technique.In this work Smart Lacelock device demonstrated feasibility in recognition of a set of human activities and the results support further investigation of its applications in HAR. ","10.1109/EMBC53108.2024.10781739"
"PubMed","Adaptive formation learning control for cooperative AUVs under complete uncertainty.","Emadodin Jandaghi; Mingxi Zhou; Paolo Stegagno; Chengzhi Yuan","This paper addresses the critical need for adaptive formation control in Autonomous Underwater Vehicles (AUVs) without requiring knowledge of system dynamics or environmental data. Current methods, often assuming partial knowledge like known mass matrices, limit adaptability in varied settings. We proposed two-layer framework treats all system dynamics, including the mass matrix, as entirely unknown, achieving configuration-agnostic control applicable to multiple underwater scenarios. The first layer features a cooperative estimator for inter-agent communication independent of global data, while the second employs a decentralized deterministic learning (DDL) controller using local feedback for precise trajectory control. The framework's radial basis function neural networks (RBFNN) store dynamic information, eliminating the need for relearning after system restarts. This robust approach addresses uncertainties from unknown parametric values and unmodeled interactions internally, as well as external disturbances such as varying water currents and pressures, enhancing adaptability across diverse environments. Comprehensive and rigorous mathematical proofs are provided to confirm the stability of the proposed controller, while simulation results validate each agent's control accuracy and signal boundedness, confirming the framework's stability and resilience in complex scenarios. ","10.3389/frobt.2024.1491907"
"PubMed","Does the transfer of knowledge from the pioneer generation to the second-generation speed-up the learning curve of robot-assisted partial nephrectomies? TRANSFER trial (UroCCR n°83).","Louis Vignot; Zine-Eddine Khene; Adil Mellouki; Arnoult Morrone; Jean-Christophe Bernhard; Karim Bensalah; Daniel Chevallier; Nicolas Doumerc; Morgan Roupret; Francois-Xavier Nouhaud; Cédric Lebacle; Jean-Alexandre Long; Pierre Pillot; Xavier Tillou; Brannwel Tibi; Matthieu Durand; Younes Ahallal; Imad Bentellis","The objective is to compare the learning curves between two pioneer and three second-generation surgeons for RAPN in terms of WIT, CD and positive surgical margins. The charts of consecutive RAPNs of three centres were reviewed from the UroCCR prospective database. The experience was assessed by a regression model for each group. There was a univariate analysis on three consecutive sequences of 15 procedures. The learning speed for WIT was explored graphically by polynomial regression after cubic splines. Finally, CUSUM charts were obtained. There were 1203 RAPN in the pioneer group and 119 performed by second-generation surgeons. There was a significant difference in the distribution of tumour size (p < 0.001) and the RENAL score (p < 0.001). The operative time was longer in the first group (p > 0.001). Independent factors for a higher WIT were the second group (p < 0.001), higher experience (p < 0.001) the collinearity between the group and experience (p < 0.001), the RENAL score (p < 0.001) and blood loss (p < 0.001). Adjusted Loess regressions showed a plateau of WIT at 400 procedures for the pioneers and a significant decrease at 20 procedures for the second generation. CUSUM chart analysis showed a 'staircase' pattern of the learning process, with three major steps at 150, 200 and 300 procedures. The major limitation is the difference in sample size between the two arms. Learning curve patterns would reflect a transfer of knowledge to the second-generation, as opposed to the establishment of standards by the pioneers. ","10.1002/bco2.477"
"PubMed","RL-QPSO net: deep reinforcement learning-enhanced QPSO for efficient mobile robot path planning.","Yang Jing; Li Weiya","Path planning in complex and dynamic environments poses a significant challenge in the field of mobile robotics. Traditional path planning methods such as genetic algorithms, Dijkstra's algorithm, and Floyd's algorithm typically rely on deterministic search strategies, which can lead to local optima and lack global search capabilities in dynamic settings. These methods have high computational costs and are not efficient for real-time applications. To address these issues, this paper presents a Quantum-behaved Particle Swarm Optimization model enhanced by deep reinforcement learning (RL-QPSO Net) aimed at improving global optimality and adaptability in path planning. The RL-QPSO Net combines quantum-inspired particle swarm optimization (QPSO) and deep reinforcement learning (DRL) modules through a dual control mechanism to achieve path optimization and environmental adaptation. The QPSO module is responsible for global path optimization, using quantum mechanics to avoid local optima, while the DRL module adjusts strategies in real-time based on environmental feedback, thus enhancing decision-making capabilities in complex high-dimensional scenarios. Experiments were conducted on multiple datasets, including Cityscapes, NYU Depth V2, Mapillary Vistas, and ApolloScape, and the results showed that RL-QPSO Net outperforms traditional methods in terms of accuracy, computational efficiency, and model complexity. This method demonstrated significant improvements in accuracy and computational efficiency, providing an effective path planning solution for real-time applications in complex environments for mobile robots. In the future, this method could be further extended to resource-limited environments to achieve broader practical applications. ","10.3389/fnbot.2024.1464572"
"PubMed","The Transformative Impact of AI, Extended Reality, and Robotics in Interventional Radiology: Current Trends and Applications.","Katelyn Vlastaris; Annabelle Alrez; Samantha Friedland; Antonina Randazzo; Rayan Abboud; Charles Martin","Interventional Radiology is at the forefront of integrating advanced imaging techniques and minimally-invasive procedures to enhance patient care. The advent of Digital Health Technologies (DHTs), including artificial intelligence (AI), robotics, and extended reality (XR), is revolutionizing healthcare, particularly in IR due to its reliance on innovative technology and advanced imaging. Since 2016, the proportion of these DHT-related publications in IR has consistently increased. The proportion of AI-related studies published in IR was 69% higher than in surgery, XR-related studies were 94% higher, and robotics studies were 192% higher, indicating a more rapid growth rate in IR compared to surgery. This article explores the transformative impact of these technologies on IR, emphasizing their potential to enhance precision, efficiency, and patient outcomes. Despite the promising advancements, there is a lack of standardization and clinical consensus on the optimal use of DHTs in IR. The variability in IR procedures and imaging systems across hospitals complicates the standardization of workflows and comparison of studies. This underscores the importance of integrating DHTs as aids to IR practitioners rather than replacement, ensuring that these technologies enhance both clinical and procedural practice. ","10.1016/j.tvir.2024.101003"
"PubMed","CabbageNet: Deep Learning for High-Precision Cabbage Segmentation in Complex Settings for Autonomous Harvesting Robotics.","Yongqiang Tian; Xinyu Cao; Taihong Zhang; Huarui Wu; Chunjiang Zhao; Yunjie Zhao","Reducing damage and missed harvest rates is essential for improving efficiency in unmanned cabbage harvesting. Accurate real-time segmentation of cabbage heads can significantly alleviate these issues and enhance overall harvesting performance. However, the complexity of the growing environment and the morphological variability of field-grown cabbage present major challenges to achieving precise segmentation. This study proposes an improved YOLOv8n-seg network to address these challenges effectively. Key improvements include modifying the baseline model's final C2f module and integrating deformable attention with dynamic sampling points to enhance segmentation performance. Additionally, an ADown module minimizes detail loss from excessive downsampling by using depthwise separable convolutions to reduce parameter count and computational load. To improve the detection of small cabbage heads, a Small Object Enhance Pyramid based on the PAFPN architecture is introduced, significantly boosting performance for small targets. The experimental results show that the proposed model achieves a Mask Precision of 92.2%, Mask Recall of 87.2%, and Mask mAP50 of 95.1%, while maintaining a compact model size of only 6.46 MB. These metrics indicate superior accuracy and efficiency over mainstream instance segmentation models, facilitating real-time, precise cabbage harvesting in complex environments. ","10.3390/s24248115"
"PubMed","Editorial: Vision, learning, and robotics: AI for plants in the 2020s.","Zhenghong Yu; Luca Iocchi; Jeffrey Too Chuan Tan; Huabing Zhou; Changcai Yang; Hao Lu","","10.3389/fpls.2024.1539626"
"PubMed","Trajectory Tracking Control for Robotic Manipulator Based on Soft Actor-Critic and Generative Adversarial Imitation Learning.","Jintao Hu; Fujie Wang; Xing Li; Yi Qin; Fang Guo; Ming Jiang","In this paper, a deep reinforcement learning (DRL) approach based on generative adversarial imitation learning (GAIL) and long short-term memory (LSTM) is proposed to resolve tracking control problems for robotic manipulators with saturation constraints and random disturbances, without learning the dynamic and kinematic model of the manipulator. Specifically, it limits the torque and joint angle to a certain range. Firstly, in order to cope with the instability problem during training and obtain a stability policy, soft actor-critic (SAC) and LSTM are combined. The changing trends of joint position over time are more comprehensively captured and understood by employing an LSTM architecture designed for robotic manipulator systems, thereby reducing instability during the training of robotic manipulators for tracking control tasks. Secondly, the obtained policy by SAC-LSTM is used as expert data for GAIL to learn a better control policy. This SAC-LSTM-GAIL (SL-GAIL) algorithm does not need to spend time exploring unknown environments and directly learns the control strategy from stable expert data. Finally, it is demonstrated by the simulation results that the end effector of the robot tracking task is effectively accomplished by the proposed SL-GAIL algorithm, and more superior stability is exhibited in a test environment with interference compared with other algorithms. ","10.3390/biomimetics9120779"
"PubMed","Predictive Capacities of a Machine Learning Decision Tree Model Created to Analyse Feasibility of an Open or Robotic Kidney Transplant.","Alessandro Martinino; Ojus Khanolkar; Erdem Koyuncu; Egor Petrochenkov; Giulia Bencini; Joanna Olazar; Pierpaolo Di Cocco; Jorge Almario-Alvarez; Mario Spaggiari; Enrico Benedetti; Ivo Tzvetanov","Machine learning has emerged as a potent tool in healthcare. A decision tree model was built to improve the decision-making process when determining the optimal choice between an open or robotic surgical approach for kidney transplant. 822 patients (OKT) and 169 (RKT) underwent kidney transplantation at our centre during the study period. A decision tree model was built in a two-step process consisting of: (1) Creating the model on the training data and (2) testing the predictive capabilities of the model using the test data. Our model correctly predicted an OKT in 148 patients out of 161 test cases who received an OKT (accuracy 91%) and predicted an RKT in 19 out of 25 test cases of patients receiving an RKT (accuracy 76%). Our model represents the inaugural data-driven model that furnishes concrete insights for the discernment between employing robotic and open surgery techniques. ","10.1002/rcs.70035"
